"palette_id","collection","order","red","green","blue","hex","status","note","name","family","type","n_colors","status_palette"
"avantgarde_bi_01","avantgarde",1,228,88,134,"#E45886","transcribed","","avantgarde_bi_01","bi","bicolor",2,"transcribed"
"avantgarde_bi_01","avantgarde",2,0,104,172,"#0068AC","transcribed","","avantgarde_bi_01","bi","bicolor",2,"transcribed"
"avantgarde_bi_02","avantgarde",1,247,219,0,"#F7DB00","transcribed","","avantgarde_bi_02","bi","bicolor",2,"transcribed"
"avantgarde_bi_02","avantgarde",2,52,166,67,"#34A643","transcribed","","avantgarde_bi_02","bi","bicolor",2,"transcribed"
"avantgarde_bi_03","avantgarde",1,200,24,57,"#C81839","transcribed","","avantgarde_bi_03","bi","bicolor",2,"transcribed"
"avantgarde_bi_03","avantgarde",2,166,117,170,"#A675AA","transcribed","","avantgarde_bi_03","bi","bicolor",2,"transcribed"
"avantgarde_bi_04","avantgarde",1,3,110,184,"#036EB8","transcribed","","avantgarde_bi_04","bi","bicolor",2,"transcribed"
"avantgarde_bi_04","avantgarde",2,252,235,239,"#FCEBEF","transcribed","","avantgarde_bi_04","bi","bicolor",2,"transcribed"
"avantgarde_bi_05","avantgarde",1,61,177,221,"#3DB1DD","transcribed","","avantgarde_bi_05","bi","bicolor",2,"transcribed"
"avantgarde_bi_05","avantgarde",2,215,66,136,"#D74288","transcribed","","avantgarde_bi_05","bi","bicolor",2,"transcribed"
"avantgarde_bi_06","avantgarde",1,164,66,149,"#A44295","transcribed","","avantgarde_bi_06","bi","bicolor",2,"transcribed"
"avantgarde_bi_06","avantgarde",2,245,200,38,"#F5C826","transcribed","","avantgarde_bi_06","bi","bicolor",2,"transcribed"
"avantgarde_bi_07","avantgarde",1,213,57,33,"#D53921","transcribed","","avantgarde_bi_07","bi","bicolor",2,"transcribed"
"avantgarde_bi_07","avantgarde",2,104,192,165,"#68C0A5","transcribed","","avantgarde_bi_07","bi","bicolor",2,"transcribed"
"avantgarde_bi_08","avantgarde",1,143,60,137,"#8F3C89","transcribed","","avantgarde_bi_08","bi","bicolor",2,"review"
"avantgarde_bi_08","avantgarde",2,239,229,49,"#EFE531","review","Blue channel is faint in the photograph; candidate B=49.","avantgarde_bi_08","bi","bicolor",2,"review"
"avantgarde_four_01","avantgarde",1,242,171,22,"#F2AB16","transcribed","","avantgarde_four_01","four","four-color",4,"transcribed"
"avantgarde_four_01","avantgarde",2,230,0,18,"#E60012","transcribed","","avantgarde_four_01","four","four-color",4,"transcribed"
"avantgarde_four_01","avantgarde",3,64,165,143,"#40A58F","transcribed","","avantgarde_four_01","four","four-color",4,"transcribed"
"avantgarde_four_01","avantgarde",4,0,116,186,"#0074BA","transcribed","","avantgarde_four_01","four","four-color",4,"transcribed"
"avantgarde_four_02","avantgarde",1,228,0,127,"#E4007F","transcribed","","avantgarde_four_02","four","four-color",4,"transcribed"
"avantgarde_four_02","avantgarde",2,0,160,233,"#00A0E9","transcribed","","avantgarde_four_02","four","four-color",4,"transcribed"
"avantgarde_four_02","avantgarde",3,255,241,0,"#FFF100","transcribed","","avantgarde_four_02","four","four-color",4,"transcribed"
"avantgarde_four_02","avantgarde",4,0,0,0,"#000000","transcribed","","avantgarde_four_02","four","four-color",4,"transcribed"
"avantgarde_four_03","avantgarde",1,200,201,208,"#C8C9D0","transcribed","","avantgarde_four_03","four","four-color",4,"transcribed"
"avantgarde_four_03","avantgarde",2,240,237,236,"#F0EDEC","transcribed","","avantgarde_four_03","four","four-color",4,"transcribed"
"avantgarde_four_03","avantgarde",3,34,168,225,"#22A8E1","transcribed","","avantgarde_four_03","four","four-color",4,"transcribed"
"avantgarde_four_03","avantgarde",4,234,90,70,"#EA5A46","transcribed","","avantgarde_four_03","four","four-color",4,"transcribed"
"avantgarde_four_04","avantgarde",1,238,128,108,"#EE806C","transcribed","","avantgarde_four_04","four","four-color",4,"transcribed"
"avantgarde_four_04","avantgarde",2,254,234,182,"#FEEAB6","transcribed","","avantgarde_four_04","four","four-color",4,"transcribed"
"avantgarde_four_04","avantgarde",3,41,181,160,"#29B5A0","transcribed","","avantgarde_four_04","four","four-color",4,"transcribed"
"avantgarde_four_04","avantgarde",4,247,203,223,"#F7CBDF","transcribed","","avantgarde_four_04","four","four-color",4,"transcribed"
"avantgarde_four_05","avantgarde",1,81,146,207,"#5192CF","transcribed","","avantgarde_four_05","four","four-color",4,"transcribed"
"avantgarde_four_05","avantgarde",2,250,220,233,"#FADCE9","transcribed","","avantgarde_four_05","four","four-color",4,"transcribed"
"avantgarde_four_05","avantgarde",3,187,228,249,"#BBE4F9","transcribed","","avantgarde_four_05","four","four-color",4,"transcribed"
"avantgarde_four_05","avantgarde",4,230,153,0,"#E69900","transcribed","","avantgarde_four_05","four","four-color",4,"transcribed"
"avantgarde_four_06","avantgarde",1,255,241,0,"#FFF100","transcribed","","avantgarde_four_06","four","four-color",4,"transcribed"
"avantgarde_four_06","avantgarde",2,34,172,56,"#22AC38","transcribed","","avantgarde_four_06","four","four-color",4,"transcribed"
"avantgarde_four_06","avantgarde",3,235,104,140,"#EB688C","transcribed","","avantgarde_four_06","four","four-color",4,"transcribed"
"avantgarde_four_06","avantgarde",4,159,160,160,"#9FA0A0","transcribed","","avantgarde_four_06","four","four-color",4,"transcribed"
"avantgarde_four_07","avantgarde",1,236,232,34,"#ECE822","transcribed","","avantgarde_four_07","four","four-color",4,"transcribed"
"avantgarde_four_07","avantgarde",2,234,89,115,"#EA5973","transcribed","","avantgarde_four_07","four","four-color",4,"transcribed"
"avantgarde_four_07","avantgarde",3,0,150,214,"#0096D6","transcribed","","avantgarde_four_07","four","four-color",4,"transcribed"
"avantgarde_four_07","avantgarde",4,156,202,67,"#9CCA43","transcribed","","avantgarde_four_07","four","four-color",4,"transcribed"
"avantgarde_multi_01","avantgarde",1,20,106,181,"#146AB5","transcribed","","avantgarde_multi_01","multi","multicolor",6,"transcribed"
"avantgarde_multi_01","avantgarde",2,235,95,86,"#EB5F56","transcribed","","avantgarde_multi_01","multi","multicolor",6,"transcribed"
"avantgarde_multi_01","avantgarde",3,220,221,221,"#DCDDDD","transcribed","","avantgarde_multi_01","multi","multicolor",6,"transcribed"
"avantgarde_multi_01","avantgarde",4,209,221,33,"#D1DD21","transcribed","","avantgarde_multi_01","multi","multicolor",6,"transcribed"
"avantgarde_multi_01","avantgarde",5,230,45,123,"#E62D7B","transcribed","","avantgarde_multi_01","multi","multicolor",6,"transcribed"
"avantgarde_multi_01","avantgarde",6,47,175,88,"#2FAF58","transcribed","","avantgarde_multi_01","multi","multicolor",6,"transcribed"
"avantgarde_multi_02","avantgarde",1,114,113,113,"#727171","transcribed","","avantgarde_multi_02","multi","multicolor",6,"transcribed"
"avantgarde_multi_02","avantgarde",2,20,106,181,"#146AB5","transcribed","","avantgarde_multi_02","multi","multicolor",6,"transcribed"
"avantgarde_multi_02","avantgarde",3,230,45,123,"#E62D7B","transcribed","","avantgarde_multi_02","multi","multicolor",6,"transcribed"
"avantgarde_multi_02","avantgarde",4,220,221,221,"#DCDDDD","transcribed","","avantgarde_multi_02","multi","multicolor",6,"transcribed"
"avantgarde_multi_02","avantgarde",5,207,221,33,"#CFDD21","transcribed","","avantgarde_multi_02","multi","multicolor",6,"transcribed"
"avantgarde_multi_02","avantgarde",6,47,175,88,"#2FAF58","transcribed","","avantgarde_multi_02","multi","multicolor",6,"transcribed"
"avantgarde_multi_03","avantgarde",1,0,128,192,"#0080C0","transcribed","","avantgarde_multi_03","multi","multicolor",5,"transcribed"
"avantgarde_multi_03","avantgarde",2,244,160,0,"#F4A000","transcribed","","avantgarde_multi_03","multi","multicolor",5,"transcribed"
"avantgarde_multi_03","avantgarde",3,230,8,35,"#E60823","transcribed","","avantgarde_multi_03","multi","multicolor",5,"transcribed"
"avantgarde_multi_03","avantgarde",4,53,122,77,"#357A4D","transcribed","","avantgarde_multi_03","multi","multicolor",5,"transcribed"
"avantgarde_multi_03","avantgarde",5,234,99,157,"#EA639D","transcribed","","avantgarde_multi_03","multi","multicolor",5,"transcribed"
"avantgarde_multi_04","avantgarde",1,37,179,220,"#25B3DC","transcribed","","avantgarde_multi_04","multi","multicolor",5,"transcribed"
"avantgarde_multi_04","avantgarde",2,230,6,20,"#E60614","transcribed","","avantgarde_multi_04","multi","multicolor",5,"transcribed"
"avantgarde_multi_04","avantgarde",3,239,139,178,"#EF8BB2","transcribed","","avantgarde_multi_04","multi","multicolor",5,"transcribed"
"avantgarde_multi_04","avantgarde",4,247,176,9,"#F7B009","transcribed","","avantgarde_multi_04","multi","multicolor",5,"transcribed"
"avantgarde_multi_04","avantgarde",5,28,137,96,"#1C8960","transcribed","","avantgarde_multi_04","multi","multicolor",5,"transcribed"
"avantgarde_multi_05","avantgarde",1,230,0,18,"#E60012","transcribed","","avantgarde_multi_05","multi","multicolor",6,"review"
"avantgarde_multi_05","avantgarde",2,0,160,233,"#00A0E9","transcribed","","avantgarde_multi_05","multi","multicolor",6,"review"
"avantgarde_multi_05","avantgarde",3,143,195,31,"#8FC31F","transcribed","","avantgarde_multi_05","multi","multicolor",6,"review"
"avantgarde_multi_05","avantgarde",4,248,182,45,"#F8B62D","transcribed","","avantgarde_multi_05","multi","multicolor",6,"review"
"avantgarde_multi_05","avantgarde",5,240,193,143,"#F0C18F","transcribed","","avantgarde_multi_05","multi","multicolor",6,"review"
"avantgarde_multi_05","avantgarde",6,250,216,188,"#FAD8BC","review","Faint RGB label; candidate (250,216,188).","avantgarde_multi_05","multi","multicolor",6,"review"
"avantgarde_multi_06","avantgarde",1,242,145,0,"#F29100","transcribed","","avantgarde_multi_06","multi","multicolor",5,"review"
"avantgarde_multi_06","avantgarde",2,255,242,8,"#FFF208","review","Faint blue channel; candidate B=8.","avantgarde_multi_06","multi","multicolor",5,"review"
"avantgarde_multi_06","avantgarde",3,98,198,242,"#62C6F2","transcribed","","avantgarde_multi_06","multi","multicolor",5,"review"
"avantgarde_multi_06","avantgarde",4,251,224,234,"#FBE0EA","transcribed","","avantgarde_multi_06","multi","multicolor",5,"review"
"avantgarde_multi_06","avantgarde",5,229,0,78,"#E5004E","transcribed","","avantgarde_multi_06","multi","multicolor",5,"review"
"avantgarde_multi_07","avantgarde",1,0,93,173,"#005DAD","transcribed","","avantgarde_multi_07","multi","multicolor",6,"transcribed"
"avantgarde_multi_07","avantgarde",2,237,106,80,"#ED6A50","transcribed","","avantgarde_multi_07","multi","multicolor",6,"transcribed"
"avantgarde_multi_07","avantgarde",3,173,206,0,"#ADCE00","transcribed","","avantgarde_multi_07","multi","multicolor",6,"transcribed"
"avantgarde_multi_07","avantgarde",4,0,156,66,"#009C42","transcribed","","avantgarde_multi_07","multi","multicolor",6,"transcribed"
"avantgarde_multi_07","avantgarde",5,146,146,146,"#929292","transcribed","","avantgarde_multi_07","multi","multicolor",6,"transcribed"
"avantgarde_multi_07","avantgarde",6,230,0,18,"#E60012","transcribed","","avantgarde_multi_07","multi","multicolor",6,"transcribed"
"avantgarde_multi_08","avantgarde",1,236,112,153,"#EC7099","transcribed","","avantgarde_multi_08","multi","multicolor",5,"transcribed"
"avantgarde_multi_08","avantgarde",2,17,74,156,"#114A9C","transcribed","","avantgarde_multi_08","multi","multicolor",5,"transcribed"
"avantgarde_multi_08","avantgarde",3,255,241,8,"#FFF108","transcribed","","avantgarde_multi_08","multi","multicolor",5,"transcribed"
"avantgarde_multi_08","avantgarde",4,83,192,214,"#53C0D6","transcribed","","avantgarde_multi_08","multi","multicolor",5,"transcribed"
"avantgarde_multi_08","avantgarde",5,192,103,165,"#C067A5","transcribed","","avantgarde_multi_08","multi","multicolor",5,"transcribed"
"avantgarde_multi_09","avantgarde",1,0,74,159,"#004A9F","transcribed","","avantgarde_multi_09","multi","multicolor",6,"transcribed"
"avantgarde_multi_09","avantgarde",2,0,174,225,"#00AEE1","transcribed","","avantgarde_multi_09","multi","multicolor",6,"transcribed"
"avantgarde_multi_09","avantgarde",3,225,112,148,"#E17094","transcribed","","avantgarde_multi_09","multi","multicolor",6,"transcribed"
"avantgarde_multi_09","avantgarde",4,231,211,120,"#E7D378","transcribed","","avantgarde_multi_09","multi","multicolor",6,"transcribed"
"avantgarde_multi_09","avantgarde",5,196,200,229,"#C4C8E5","transcribed","","avantgarde_multi_09","multi","multicolor",6,"transcribed"
"avantgarde_multi_09","avantgarde",6,81,181,174,"#51B5AE","transcribed","","avantgarde_multi_09","multi","multicolor",6,"transcribed"
"avantgarde_multi_10","avantgarde",1,233,194,101,"#E9C265","transcribed","","avantgarde_multi_10","multi","multicolor",5,"review"
"avantgarde_multi_10","avantgarde",2,25,64,152,"#194098","transcribed","","avantgarde_multi_10","multi","multicolor",5,"review"
